no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,loan_to_income_ratio,total_assets_value,loan_to_asset_ratio
3,Not Graduate,Yes,4200000,9700000,16,841,7800000,300000,16700000,5100000,1,2.3095238095238093,29900000,0.32441471571906355
4,Not Graduate,Yes,9000000,18100000,12,764,600000,16500000,20800000,11600000,1,2.011111111111111,49500000,0.3656565656565657
0,Graduate,No,2700000,10600000,6,591,1300000,2700000,9900000,1800000,1,3.925925925925926,15700000,0.6751592356687898
1,Graduate,Yes,9700000,35900000,2,719,19600000,7600000,20400000,10900000,1,3.7010309278350517,58500000,0.6136752136752137
2,Graduate,No,3300000,6800000,14,317,3400000,300000,11700000,3600000,0,2.0606060606060606,19000000,0.35789473684210527
0,Not Graduate,No,300000,1100000,8,778,800000,200000,900000,100000,1,3.6666666666666665,2000000,0.55
3,Graduate,Yes,7400000,18200000,14,302,5600000,3100000,17900000,5000000,0,2.4594594594594597,31600000,0.5759493670886076
5,Not Graduate,No,7100000,19700000,8,502,7300000,5600000,25300000,9800000,0,2.7746478873239435,48000000,0.41041666666666665
5,Not Graduate,Yes,7300000,22100000,18,879,19500000,10600000,19300000,9800000,1,3.0273972602739727,59200000,0.3733108108108108
1,Not Graduate,No,8400000,23400000,14,437,15400000,5800000,33400000,8100000,0,2.7857142857142856,62700000,0.37320574162679426
0,Not Graduate,Yes,3300000,10800000,12,797,600000,6000000,7700000,3300000,1,3.272727272727273,17600000,0.6136363636363636
4,Not Graduate,Yes,5800000,23200000,18,456,16100000,4200000,22600000,7500000,0,4.0,50400000,0.4603174603174603
0,Not Graduate,No,600000,1600000,6,647,1500000,600000,1500000,700000,1,2.6666666666666665,4300000,0.37209302325581395
0,Not Graduate,No,7200000,15800000,12,379,12700000,12200000,21500000,3600000,0,2.1944444444444446,50000000,0.316
1,Not Graduate,Yes,9100000,32900000,2,717,2200000,2000000,23600000,5900000,1,3.6153846153846154,33700000,0.9762611275964391
5,Graduate,No,900000,2300000,16,545,100000,200000,2700000,800000,0,2.5555555555555554,3800000,0.6052631578947368
2,Graduate,No,800000,3200000,8,317,300000,1000000,2000000,900000,0,4.0,4200000,0.7619047619047619
1,Not Graduate,No,8500000,32900000,10,570,5100000,6200000,20500000,5500000,1,3.8705882352941177,37300000,0.8820375335120644
0,Not Graduate,Yes,9000000,18700000,18,865,26800000,0,20900000,11300000,1,2.077777777777778,59000000,0.3169491525423729
3,Graduate,No,7000000,19500000,14,719,12200000,10300000,18200000,10200000,1,2.7857142857142856,50900000,0.3831041257367387
3,Graduate,No,200000,600000,16,821,400000,100000,500000,100000,1,3.0,1100000,0.5454545454545454
4,Not Graduate,Yes,400000,800000,10,859,900000,500000,800000,200000,1,2.0,2400000,0.3333333333333333
3,Not Graduate,No,5100000,18200000,10,395,100000,8000000,15500000,6300000,0,3.5686274509803924,29900000,0.6086956521739131
2,Not Graduate,Yes,700000,2600000,12,429,1600000,1300000,2700000,800000,0,3.7142857142857144,6400000,0.40625
3,Graduate,No,400000,1200000,12,861,200000,600000,1100000,200000,1,3.0,2100000,0.5714285714285714
0,Not Graduate,Yes,9500000,20800000,14,565,15100000,11900000,33900000,13400000,1,2.1894736842105265,74300000,0.27994616419919244
5,Graduate,No,8800000,22600000,10,357,7900000,8600000,18200000,4900000,0,2.5681818181818183,39600000,0.5707070707070707
3,Not Graduate,Yes,1800000,3600000,18,465,600000,500000,5400000,2600000,0,2.0,9100000,0.3956043956043956
4,Not Graduate,Yes,6800000,13900000,8,479,11700000,9100000,25700000,9600000,0,2.0441176470588234,56100000,0.24777183600713013
3,Not Graduate,No,1500000,5500000,16,717,2100000,800000,4400000,1300000,1,3.6666666666666665,8600000,0.6395348837209303
3,Graduate,No,1600000,5500000,12,425,600000,800000,5400000,900000,0,3.4375,7700000,0.7142857142857143
2,Not Graduate,No,4600000,16700000,2,786,200000,5900000,13900000,6100000,1,3.630434782608696,26100000,0.6398467432950191
5,Not Graduate,Yes,2200000,6700000,6,382,4400000,1300000,8600000,1100000,0,3.0454545454545454,15400000,0.43506493506493504
3,Not Graduate,Yes,2900000,8500000,12,564,1000000,3100000,7500000,1800000,1,2.9310344827586206,13400000,0.6343283582089553
0,Graduate,No,200000,700000,8,501,500000,200000,700000,100000,0,3.5,1500000,0.4666666666666667
2,Not Graduate,Yes,2500000,9400000,10,727,6600000,4100000,9500000,3300000,1,3.76,23500000,0.4
4,Not Graduate,No,3600000,7500000,6,894,1100000,6500000,7400000,2800000,1,2.0833333333333335,17800000,0.42134831460674155
0,Graduate,Yes,5500000,16700000,18,829,5500000,1300000,12800000,5900000,1,3.036363636363636,25500000,0.6549019607843137
4,Not Graduate,No,6600000,17400000,20,506,2600000,10000000,25900000,7200000,0,2.6363636363636362,45700000,0.38074398249452956
2,Graduate,Yes,8600000,32100000,6,802,9400000,16700000,24500000,9800000,1,3.7325581395348837,60400000,0.5314569536423841
5,Not Graduate,No,600000,1500000,14,543,300000,900000,2100000,300000,0,2.5,3600000,0.4166666666666667
3,Graduate,Yes,1400000,3200000,20,772,2400000,900000,5100000,1600000,1,2.2857142857142856,10000000,0.32
3,Graduate,No,4000000,11100000,12,572,9700000,100000,12500000,2400000,1,2.775,24700000,0.4493927125506073
0,Not Graduate,Yes,4900000,11900000,16,709,14600000,900000,18500000,3800000,1,2.4285714285714284,37800000,0.3148148148148148
5,Graduate,No,2000000,6200000,18,402,4000000,2100000,7200000,1100000,0,3.1,14400000,0.4305555555555556
1,Not Graduate,Yes,5200000,19300000,8,481,14300000,9500000,18800000,4200000,0,3.7115384615384617,46800000,0.41239316239316237
5,Graduate,Yes,8900000,28800000,6,772,13600000,5500000,20400000,8400000,1,3.235955056179775,47900000,0.6012526096033403
1,Graduate,Yes,6500000,20600000,2,306,15900000,1900000,18100000,3200000,1,3.169230769230769,39100000,0.5268542199488491
2,Not Graduate,No,1300000,4500000,6,415,0,900000,2900000,1200000,0,3.4615384615384617,5000000,0.9
3,Not Graduate,No,9400000,35000000,16,548,18200000,4400000,36100000,4800000,0,3.723404255319149,63500000,0.5511811023622047
5,Not Graduate,No,5000000,11200000,8,701,9100000,500000,14000000,4600000,1,2.24,28200000,0.3971631205673759
2,Graduate,No,3000000,7700000,12,890,4700000,4300000,8400000,2100000,1,2.566666666666667,19500000,0.39487179487179486
5,Not Graduate,Yes,9900000,33300000,6,364,5300000,18700000,27800000,8300000,0,3.3636363636363638,60100000,0.5540765391014975
5,Graduate,Yes,700000,1300000,20,704,1600000,0,2200000,600000,1,1.8571428571428572,4400000,0.29545454545454547
3,Graduate,Yes,4000000,10600000,10,318,1500000,5100000,8000000,4900000,0,2.65,19500000,0.5435897435897435
5,Not Graduate,No,3100000,9600000,2,761,5800000,1800000,10400000,4200000,1,3.096774193548387,22200000,0.43243243243243246
4,Not Graduate,No,4500000,15100000,6,693,3700000,1500000,17800000,6000000,1,3.3555555555555556,29000000,0.5206896551724138
3,Not Graduate,No,9700000,20600000,16,524,24200000,11100000,27400000,6100000,0,2.1237113402061856,68800000,0.29941860465116277
2,Not Graduate,Yes,2000000,5300000,10,681,4900000,1400000,4300000,2900000,1,2.65,13500000,0.3925925925925926
2,Graduate,Yes,8100000,22300000,18,737,22300000,12600000,27000000,7300000,1,2.753086419753086,69200000,0.3222543352601156
0,Not Graduate,No,5700000,15900000,16,638,100000,9500000,16300000,4500000,1,2.789473684210526,30400000,0.5230263157894737
4,Not Graduate,No,5800000,12800000,2,656,500000,5000000,16000000,2800000,1,2.206896551724138,24300000,0.5267489711934157
1,Graduate,No,1800000,6500000,6,540,2500000,3200000,5000000,1100000,0,3.611111111111111,11800000,0.5508474576271186
4,Not Graduate,Yes,9100000,35200000,6,341,1000000,300000,23100000,8200000,0,3.868131868131868,32600000,1.0797546012269938
0,Not Graduate,Yes,4800000,17500000,2,371,11700000,6800000,18700000,3500000,1,3.6458333333333335,40700000,0.42997542997543
3,Not Graduate,Yes,3800000,10500000,12,886,4000000,500000,14900000,2300000,1,2.763157894736842,21700000,0.4838709677419355
0,Not Graduate,No,1900000,4100000,18,801,400000,800000,4800000,1200000,1,2.1578947368421053,7200000,0.5694444444444444
3,Not Graduate,Yes,3600000,9500000,16,748,7700000,2400000,9700000,2600000,1,2.638888888888889,22400000,0.42410714285714285
2,Not Graduate,Yes,7400000,28200000,8,376,21900000,5000000,17400000,5200000,0,3.810810810810811,49500000,0.5696969696969697
4,Not Graduate,Yes,6600000,14300000,8,371,10800000,9500000,18500000,7400000,0,2.1666666666666665,46200000,0.30952380952380953
2,Graduate,No,1800000,5300000,6,826,4500000,700000,6500000,1300000,1,2.9444444444444446,13000000,0.4076923076923077
4,Not Graduate,No,9200000,27200000,12,873,4500000,1800000,33800000,11400000,1,2.9565217391304346,51500000,0.5281553398058253
5,Not Graduate,Yes,2400000,8600000,8,309,500000,600000,5700000,2800000,0,3.5833333333333335,9600000,0.8958333333333334
4,Not Graduate,No,5600000,13300000,20,869,3300000,7500000,20000000,6500000,1,2.375,37300000,0.35656836461126007
5,Graduate,No,3800000,13900000,12,534,4700000,2900000,8200000,2800000,0,3.6578947368421053,18600000,0.7473118279569892
3,Not Graduate,Yes,4500000,17900000,6,787,9800000,3600000,14300000,4200000,1,3.977777777777778,31900000,0.5611285266457681
0,Graduate,Yes,900000,2200000,16,566,100000,700000,2000000,600000,1,2.4444444444444446,3400000,0.6470588235294118
0,Not Graduate,No,2800000,9900000,8,742,4900000,1300000,6700000,1700000,1,3.5357142857142856,14600000,0.678082191780822
2,Not Graduate,No,7500000,23100000,4,824,12100000,10900000,26300000,9500000,1,3.08,58800000,0.39285714285714285
4,Graduate,No,1400000,3100000,14,575,3000000,2100000,4900000,1400000,1,2.2142857142857144,11400000,0.2719298245614035
2,Graduate,Yes,3800000,10900000,10,766,1900000,3900000,8600000,3000000,1,2.8684210526315788,17400000,0.6264367816091954
1,Not Graduate,Yes,1700000,5000000,10,888,2900000,900000,4100000,2200000,1,2.9411764705882355,10100000,0.49504950495049505
3,Graduate,Yes,9000000,30400000,6,638,16800000,11000000,26900000,9200000,1,3.3777777777777778,63900000,0.4757433489827856
5,Not Graduate,Yes,7300000,23300000,6,622,7100000,11600000,26400000,10500000,1,3.191780821917808,55600000,0.41906474820143885
1,Not Graduate,No,7400000,19800000,18,458,12600000,6200000,27700000,4000000,0,2.675675675675676,50500000,0.3920792079207921
1,Not Graduate,No,9000000,28200000,16,327,1700000,2300000,24000000,11200000,0,3.1333333333333333,39200000,0.7193877551020408
0,Not Graduate,No,3000000,6500000,2,612,8800000,3400000,6700000,1700000,1,2.1666666666666665,20600000,0.3155339805825243
1,Graduate,No,800000,2900000,8,682,2200000,1100000,2900000,700000,1,3.625,6900000,0.42028985507246375
2,Graduate,No,4800000,13200000,2,583,13700000,5800000,9500000,5200000,1,2.75,34200000,0.38596491228070173
5,Not Graduate,No,6400000,18300000,8,697,10000000,3600000,22500000,3600000,1,2.859375,39700000,0.4609571788413098
3,Graduate,No,9200000,27100000,12,306,5800000,11500000,28000000,9600000,0,2.9456521739130435,54900000,0.4936247723132969
4,Not Graduate,Yes,400000,1500000,2,669,-100000,600000,900000,500000,1,3.75,1900000,0.7894736842105263
2,Not Graduate,No,2800000,6000000,18,816,6300000,4200000,8000000,3400000,1,2.142857142857143,21900000,0.273972602739726
4,Not Graduate,Yes,8500000,28900000,20,455,15200000,5800000,22500000,9400000,0,3.4,52900000,0.5463137996219282
3,Graduate,Yes,4700000,16400000,10,318,11400000,8100000,16200000,4300000,0,3.4893617021276597,40000000,0.41
4,Not Graduate,Yes,9800000,21200000,20,355,22000000,8900000,31800000,14400000,0,2.163265306122449,77100000,0.27496757457846954
2,Not Graduate,Yes,3800000,8900000,16,389,200000,5600000,12200000,2200000,0,2.3421052631578947,20200000,0.4405940594059406
2,Graduate,No,500000,1500000,2,888,1500000,300000,1500000,600000,1,3.0,3900000,0.38461538461538464
2,Graduate,Yes,6900000,15600000,6,352,13000000,5300000,22600000,10000000,0,2.260869565217391,50900000,0.30648330058939094
4,Not Graduate,Yes,9600000,30100000,12,870,300000,6700000,38200000,5600000,1,3.1354166666666665,50800000,0.59251968503937
3,Not Graduate,No,2900000,6500000,18,827,8300000,600000,10400000,3200000,1,2.2413793103448274,22500000,0.28888888888888886
2,Graduate,No,9800000,20900000,12,768,3400000,10200000,38600000,13400000,1,2.13265306122449,65600000,0.31859756097560976
0,Graduate,No,7100000,15400000,18,707,10300000,10800000,19600000,5800000,1,2.1690140845070425,46500000,0.3311827956989247
1,Not Graduate,Yes,7700000,19100000,10,355,11300000,4900000,21900000,6600000,0,2.4805194805194803,44700000,0.4272930648769575
3,Graduate,No,1400000,3300000,2,652,100000,2100000,3500000,1900000,1,2.357142857142857,7600000,0.4342105263157895
3,Graduate,No,7800000,15900000,2,665,14400000,900000,27200000,5400000,1,2.0384615384615383,47900000,0.33194154488517746
5,Not Graduate,Yes,1700000,6000000,18,420,500000,1600000,3700000,2300000,0,3.5294117647058822,8100000,0.7407407407407407
2,Not Graduate,No,8500000,32700000,18,471,12600000,9400000,33900000,12500000,0,3.847058823529412,68400000,0.4780701754385965
5,Not Graduate,No,1900000,7500000,20,715,5100000,2800000,6500000,2800000,1,3.9473684210526314,17200000,0.436046511627907
2,Not Graduate,Yes,6700000,15200000,10,689,0,8200000,15000000,6800000,1,2.2686567164179103,30000000,0.5066666666666667
3,Graduate,Yes,6900000,16400000,4,787,11100000,6100000,26400000,3800000,1,2.3768115942028984,47400000,0.3459915611814346
2,Graduate,No,2600000,7800000,4,819,3100000,4300000,5700000,1500000,1,3.0,14600000,0.5342465753424658
4,Graduate,Yes,9600000,21100000,6,809,16100000,9500000,34700000,8700000,1,2.1979166666666665,69000000,0.30579710144927535
1,Not Graduate,Yes,6800000,17000000,2,744,15500000,3900000,23700000,3500000,1,2.5,46600000,0.3648068669527897
0,Not Graduate,No,3200000,11300000,6,484,3500000,5500000,8500000,2100000,0,3.53125,19600000,0.576530612244898
4,Not Graduate,No,2900000,10400000,6,673,5100000,1700000,10600000,1700000,1,3.586206896551724,19100000,0.5445026178010471
3,Graduate,Yes,7900000,21200000,18,695,13800000,10600000,21800000,4900000,1,2.6835443037974684,51100000,0.41487279843444225
4,Not Graduate,Yes,3900000,12400000,12,473,6400000,4700000,13100000,3800000,0,3.1794871794871793,28000000,0.44285714285714284
4,Graduate,Yes,4600000,11000000,2,491,9000000,4000000,16100000,3500000,0,2.391304347826087,32600000,0.3374233128834356
3,Not Graduate,Yes,700000,1700000,8,733,1200000,800000,2400000,500000,1,2.4285714285714284,4900000,0.3469387755102041
0,Not Graduate,No,5200000,15600000,20,434,14100000,5800000,18100000,5500000,0,3.0,43500000,0.3586206896551724
3,Not Graduate,Yes,5900000,20600000,10,777,1900000,4600000,21200000,6400000,1,3.4915254237288136,34100000,0.6041055718475073
